chembl_molecule_id,smiles,molregno,pref_name,max_phase,therapeutic_flag,dosed_ingredient,structure_type,chebi_par_id,molecule_type,first_approval,oral,parenteral,topical,black_box_warning,natural_product,first_in_class,chirality,prodrug,inorganic_flag,usan_year,availability_type,usan_stem,polymer_flag,usan_substem,usan_stem_definition,indication_class,withdrawn_flag,chemical_probe,orphan,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score
CHEMBL1200351,Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Na+],674302,SULFADIAZINE SODIUM,4.0,1,1,MOL,,Small molecule,1941.0,0,1,0,0,0,0,2,0,0,,0.0,sulfa-,0,sulfa-,antimicrobials (sulfonamides derivatives),Antibacterial,0,0,0,250.28,0.86,5.0,2.0,97.97,3.0,N,0.0,6.99,2.01,0.39,-0.05,NEUTRAL,272.26,2.0,17.0,0.79,250.0524,C10H9N4NaO2S,6.0,3.0,0.0,-1.65
CHEMBL1536,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,430124,ERGOCALCIFEROL,4.0,1,1,MOL,28934.0,Small molecule,1941.0,1,1,0,0,1,0,1,0,0,,1.0,-calci-,0,-calci-,vitamin D analogs,Vitamin (antirachitic),0,0,0,396.66,7.64,1.0,1.0,20.23,5.0,N,1.0,,,7.05,7.05,NEUTRAL,396.66,0.0,29.0,0.47,396.3392,C28H44O,1.0,1.0,1.0,2.81
CHEMBL439,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,2131,SULFADIAZINE,4.0,1,1,MOL,9328.0,Small molecule,1941.0,1,1,1,0,1,0,2,0,0,1975.0,1.0,sulfa-,0,sulfa-,antimicrobials (sulfonamides derivatives),"Anti-Infective, Topical,Antibacterial",0,0,0,250.28,0.86,5.0,2.0,97.97,3.0,N,0.0,6.99,2.01,0.39,-0.05,NEUTRAL,250.28,2.0,17.0,0.79,250.0524,C10H10N4O2S,6.0,3.0,0.0,-1.65
CHEMBL1701,CCOC(=O)C1(c2ccccc2)CCN(C)CC1.Cl,547402,MEPERIDINE HYDROCHLORIDE,4.0,1,1,MOL,,Small molecule,1942.0,1,1,0,1,0,0,2,0,0,,1.0,-eridine,0,-eridine,analgesics (meperidine type),Analgesic (narcotic),0,0,0,247.34,2.21,3.0,0.0,29.54,3.0,Y,0.0,,8.16,2.46,1.63,NEUTRAL,283.80,1.0,18.0,0.77,247.1572,C15H22ClNO2,3.0,0.0,0.0,-0.56
CHEMBL607,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,22528,MEPERIDINE,4.0,1,0,MOL,6754.0,Small molecule,1942.0,1,1,0,1,1,0,2,0,0,,1.0,-eridine,0,-eridine,analgesics (meperidine type),Analgesic (narcotic),0,0,0,247.34,2.21,3.0,0.0,29.54,3.0,Y,0.0,,8.16,2.46,1.63,NEUTRAL,247.34,1.0,18.0,0.77,247.1572,C15H21NO2,3.0,0.0,0.0,-0.56
CHEMBL1200851,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2.[Br-],674802,HOMATROPINE METHYLBROMIDE,4.0,1,1,MOL,,Small molecule,1943.0,1,0,0,0,0,0,0,0,0,,1.0,-trop-,0,-trop-,atropine derivatives,Anticholinergic,0,0,0,290.38,2.03,3.0,1.0,46.53,3.0,Y,0.0,11.99,,-2.57,-2.57,NEUTRAL,370.29,1.0,21.0,0.68,290.1751,C17H24BrNO3,4.0,1.0,0.0,0.68
CHEMBL1200952,CN[C@@H](C)Cc1ccccc1.Cl,674903,METHAMPHETAMINE HYDROCHLORIDE,4.0,1,1,MOL,35340.0,Small molecule,1943.0,1,0,0,1,0,0,1,0,0,,1.0,,0,,,Stimulant (central),0,0,0,149.24,1.84,1.0,1.0,12.03,3.0,Y,0.0,,10.21,2.24,-0.44,BASE,185.70,1.0,11.0,0.69,149.1204,C10H16ClN,1.0,1.0,0.0,-0.21
CHEMBL1201201,CN[C@@H](C)Cc1ccccc1,675152,METHAMPHETAMINE,4.0,1,0,MOL,6809.0,Small molecule,1943.0,1,0,0,1,1,0,1,0,0,,1.0,,0,,,Stimulant (central),0,0,0,149.24,1.84,1.0,1.0,12.03,3.0,Y,0.0,,10.21,2.24,-0.44,BASE,149.24,1.0,11.0,0.69,149.1204,C10H15N,1.0,1.0,0.0,-0.21
CHEMBL1201235,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,675186,METHYLHOMATROPINE,4.0,1,0,MOL,,Small molecule,1943.0,1,0,0,0,1,0,0,0,0,,1.0,-trop-,0,-trop-,atropine derivatives,Anticholinergic,0,0,0,290.38,2.03,3.0,1.0,46.53,3.0,Y,0.0,11.99,,-2.57,-2.57,NEUTRAL,290.38,1.0,21.0,0.68,290.1751,C17H24NO3+,4.0,1.0,0.0,0.68
CHEMBL1457,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,388373,HYDROCODONE,4.0,1,0,MOL,5779.0,Small molecule,1943.0,1,0,0,1,1,0,1,1,0,1963.0,1.0,,0,,,Antitussive,0,0,0,299.37,1.93,4.0,0.0,38.77,1.0,N,0.0,,8.61,1.96,0.73,BASE,299.37,1.0,22.0,0.79,299.1521,C18H21NO3,4.0,0.0,0.0,1.74
CHEMBL3989677,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314.O.O.O=C(O)C(O)C(O)C(=O)O,2197548,HYDROCODONE BITARTRATE,4.0,1,1,MOL,,Small molecule,1943.0,1,0,0,1,0,0,1,1,0,1963.0,1.0,,0,,,,0,0,0,299.37,1.93,4.0,0.0,38.77,1.0,N,0.0,,8.61,1.96,0.73,BASE,485.49,1.0,22.0,0.79,299.1521,C22H31NO11,4.0,0.0,0.0,1.74
CHEMBL1466,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,394231,DICUMAROL,4.0,1,1,MOL,4513.0,Small molecule,1944.0,1,0,0,0,1,0,2,0,0,1971.0,0.0,-arol,0,-arol,anticoagulants (dicumarol type),Anticoagulant,0,0,0,336.30,2.90,6.0,2.0,100.88,2.0,N,0.0,4.85,,1.94,-2.22,ACID,336.30,4.0,25.0,0.55,336.0634,C19H12O6,6.0,2.0,0.0,0.33
CHEMBL1243,Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,233590,SULFABENZAMIDE,4.0,1,1,MOL,,Small molecule,1945.0,0,0,1,0,1,0,2,0,0,1971.0,0.0,sulfa-,0,sulfa-,antimicrobials (sulfonamides derivatives),Antibacterial,0,0,0,276.32,1.39,4.0,2.0,89.26,3.0,N,0.0,4.32,2.09,1.59,0.65,ACID,276.32,2.0,19.0,0.83,276.0569,C13H12N2O3S,5.0,3.0,0.0,-1.00
CHEMBL339427,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,203627,TUBOCURARINE,4.0,1,0,MOL,9774.0,Small molecule,1945.0,0,1,0,0,1,0,1,0,0,,0.0,,0,,,Neuromuscular Blocking Agent,0,0,0,609.74,6.70,7.0,2.0,80.62,2.0,N,2.0,8.54,7.98,3.23,2.32,NEUTRAL,609.74,4.0,45.0,0.24,609.2959,C37H41N2O6+,8.0,2.0,2.0,2.26
CHEMBL3989821,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C.Cl.O.O.O.O.O.[Cl-],2197692,TUBOCURARINE CHLORIDE,4.0,1,1,MOL,,Small molecule,1945.0,0,1,0,0,0,0,1,0,0,,0.0,,0,,,,0,0,0,609.74,6.70,7.0,2.0,80.62,2.0,N,2.0,8.54,7.98,3.23,2.32,NEUTRAL,771.73,4.0,45.0,0.24,609.2959,C37H52Cl2N2O11,8.0,2.0,2.0,2.26
CHEMBL437,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,2095,SULFATHIAZOLE,4.0,1,1,MOL,9337.0,Small molecule,1945.0,0,0,1,0,1,0,2,0,0,,-2.0,sulfa-,0,sulfa-,antimicrobials (sulfonamides derivatives),Antibacterial,1,0,0,255.32,1.53,5.0,2.0,85.08,3.0,N,0.0,6.93,2.04,0.98,0.50,NEUTRAL,255.32,2.0,16.0,0.81,255.0136,C9H9N3O2S2,5.0,3.0,0.0,-2.09
CHEMBL455,CC(=O)NS(=O)(=O)c1ccc(N)cc1,2525,SULFACETAMIDE,4.0,1,1,MOL,63845.0,Small molecule,1945.0,0,0,1,0,1,0,2,0,0,,1.0,sulfa-,0,sulfa-,antimicrobials (sulfonamides derivatives),Antibacterial,0,0,0,214.25,0.09,4.0,2.0,89.26,2.0,N,0.0,4.30,2.14,-0.26,-1.20,ACID,214.25,1.0,14.0,0.68,214.0412,C8H10N2O3S,5.0,3.0,0.0,-1.06
CHEMBL869,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,70239,NITROFURAZONE,4.0,1,1,MOL,,Small molecule,1945.0,0,0,1,0,1,0,2,0,0,,-2.0,,0,,,"Anti-Infective, Topical",1,0,0,198.14,0.19,5.0,2.0,123.76,3.0,N,0.0,11.79,,-0.14,-0.14,NEUTRAL,198.14,1.0,14.0,0.41,198.0389,C6H6N4O4,8.0,3.0,0.0,-2.33
CHEMBL1200354,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+],674305,SODIUM TETRADECYL SULFATE,4.0,1,1,MOL,75273.0,Small molecule,1946.0,0,1,0,0,0,0,0,0,0,,1.0,,0,,,,0,0,0,294.46,4.22,3.0,1.0,63.60,11.0,N,0.0,-1.05,,5.04,2.66,ACID,316.44,0.0,19.0,0.58,294.1865,C14H29NaO4S,4.0,1.0,0.0,1.38
CHEMBL1200517,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O,674468,DIHYDROERGOTAMINE MESYLATE,4.0,1,1,MOL,59756.0,Small molecule,1946.0,0,1,1,1,1,0,1,0,0,1965.0,1.0,-erg-,0,-erg-,ergot alkaloid derivatives,Anti-Adrenergic,0,0,0,583.69,2.08,6.0,3.0,118.21,4.0,N,1.0,9.69,8.39,2.71,1.84,NEUTRAL,679.80,3.0,43.0,0.43,583.2795,C34H41N5O8S,10.0,3.0,1.0,0.83
CHEMBL1200843,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1.O=C(O)/C=C\C(=O)O,674794,METHYLERGONOVINE MALEATE,4.0,1,1,MOL,,Small molecule,1946.0,1,1,0,0,0,0,1,0,0,,1.0,-erg-; -vin-,0,-erg-; -vin-,ergot alkaloid derivatives; vinca alkaloids,Oxytocic,0,0,0,339.44,1.92,3.0,3.0,68.36,4.0,N,0.0,,7.93,1.59,0.95,NEUTRAL,455.51,2.0,25.0,0.80,339.1947,C24H29N3O6,5.0,3.0,0.0,0.91
CHEMBL1201345,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)O,675296,TETRADECYL SULFURIC ACID,4.0,1,0,MOL,75275.0,Small molecule,1946.0,0,1,0,0,1,0,0,0,0,,1.0,,0,,,,0,0,0,294.46,4.22,3.0,1.0,63.60,11.0,N,0.0,-1.05,,5.04,2.66,ACID,294.46,0.0,19.0,0.58,294.1865,C14H30O4S,4.0,1.0,0.0,1.38
CHEMBL1201356,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,675307,METHYLERGONOVINE,4.0,1,0,MOL,,Small molecule,1946.0,1,1,0,0,1,0,1,0,0,,1.0,-erg-; -vin-,0,-erg-; -vin-,ergot alkaloid derivatives; vinca alkaloids,Oxytocic,0,0,0,339.44,1.92,3.0,3.0,68.36,4.0,N,0.0,,7.93,1.59,0.95,NEUTRAL,339.44,2.0,25.0,0.80,339.1947,C20H25N3O2,5.0,3.0,0.0,0.91
CHEMBL1597,OCC(S)CS,454382,DIMERCAPROL,4.0,1,1,MOL,64198.0,Small molecule,1946.0,0,1,0,0,1,0,0,0,0,,1.0,,0,,,Antidote (to arsenic and gold and mercury poisoning),0,0,0,124.23,0.21,3.0,3.0,20.23,2.0,Y,0.0,9.58,,0.21,0.21,NEUTRAL,124.23,0.0,6.0,0.45,124.0017,C3H8OS2,1.0,1.0,0.0,0.75
CHEMBL1620,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,468199,DIPHENHYDRAMINE HYDROCHLORIDE,4.0,1,1,MOL,4637.0,Small molecule,1946.0,1,1,0,0,0,0,2,0,0,,2.0,,0,,,Antihistaminic,0,0,0,255.36,3.35,2.0,0.0,12.47,6.0,N,0.0,,8.87,3.65,2.17,BASE,291.82,2.0,19.0,0.78,255.1623,C17H22ClNO,2.0,0.0,0.0,-0.52
CHEMBL1732,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,558566,DIHYDROERGOTAMINE,4.0,1,0,MOL,4562.0,Small molecule,1946.0,0,1,1,1,1,0,1,0,0,1965.0,1.0,-erg-,0,-erg-,ergot alkaloid derivatives,Anti-Adrenergic,0,0,0,583.69,2.08,6.0,3.0,118.21,4.0,N,1.0,9.69,8.39,2.71,1.84,NEUTRAL,583.69,3.0,43.0,0.43,583.2795,C33H37N5O5,10.0,3.0,1.0,0.83
CHEMBL3184791,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O,1674082,STREPTOMYCIN SULFATE,4.0,1,1,MOL,,Small molecule,1946.0,0,1,0,1,0,0,1,0,0,,1.0,-mycin,0,-mycin,antibiotics (Streptomyces strain),,0,0,0,581.58,-8.16,15.0,12.0,336.43,9.0,N,3.0,11.23,10.07,-7.06,-11.79,BASE,1457.40,0.0,40.0,0.07,581.2657,C42H84N14O36S3,19.0,16.0,3.0,1.77
CHEMBL372795,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,334866,STREPTOMYCIN,4.0,1,1,MOL,17076.0,Small molecule,1946.0,0,1,0,1,1,0,1,0,0,,1.0,-mycin,0,-mycin,antibiotics (Streptomyces strain),Antibacterial (tuberculostatic),0,0,0,581.58,-8.16,15.0,12.0,336.43,9.0,N,3.0,11.23,10.07,-7.06,-11.79,BASE,581.58,0.0,40.0,0.07,581.2657,C21H39N7O12,19.0,16.0,3.0,1.77
CHEMBL657,CN(C)CCOC(c1ccccc1)c1ccccc1,27629,DIPHENHYDRAMINE,4.0,1,0,MOL,4636.0,Small molecule,1946.0,1,1,0,0,1,0,2,0,0,,2.0,,0,,,Antihistaminic,0,0,0,255.36,3.35,2.0,0.0,12.47,6.0,N,0.0,,8.87,3.65,2.17,BASE,255.36,2.0,19.0,0.78,255.1623,C17H21NO,2.0,0.0,0.0,-0.52
CHEMBL695,CN1C(=O)OC(C)(C)C1=O,31804,TRIMETHADIONE,4.0,1,1,MOL,,Small molecule,1946.0,1,0,0,0,1,0,2,0,0,,1.0,,0,,,Anticonvulsant,0,0,0,143.14,0.37,3.0,0.0,46.61,0.0,Y,0.0,,,0.50,0.50,,143.14,0.0,10.0,0.49,143.0582,C6H9NO3,4.0,0.0,0.0,0.31
CHEMBL861,CCC1(c2ccccc2)NC(=O)N(C)C1=O,66016,MEPHENYTOIN,4.0,1,1,MOL,,Small molecule,1946.0,1,0,0,0,1,0,0,0,0,1962.0,0.0,-toin,0,-toin,antiepileptics (hydantoin derivatives),Anticonvulsant,0,0,0,218.26,1.47,2.0,1.0,49.41,2.0,Y,0.0,11.09,,1.67,1.67,NEUTRAL,218.26,1.0,16.0,0.76,218.1055,C12H14N2O2,4.0,1.0,0.0,-0.81
CHEMBL1018,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,117108,DIENESTROL,4.0,1,1,MOL,,Small molecule,1947.0,0,0,1,0,1,0,2,0,0,,0.0,-estr-,0,-estr-,estrogens,Estrogen,0,0,0,266.34,4.60,2.0,2.0,40.46,3.0,N,0.0,9.10,,4.83,4.82,NEUTRAL,266.34,2.0,20.0,0.80,266.1307,C18H18O2,2.0,2.0,0.0,0.43
CHEMBL1200825,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl,674776,METHADONE HYDROCHLORIDE,4.0,1,1,MOL,50140.0,Small molecule,1947.0,1,1,0,1,0,0,0,0,0,,1.0,,0,,,Analgesic (narcotic),0,0,0,309.45,4.29,2.0,0.0,20.31,7.0,N,0.0,,9.12,5.01,3.29,BASE,345.91,2.0,23.0,0.76,309.2093,C21H28ClNO,2.0,0.0,0.0,-0.20
CHEMBL1223,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[K+],226400,PENICILLIN G POTASSIUM,4.0,1,1,MOL,7963.0,Small molecule,1947.0,1,1,0,0,1,0,1,0,0,,1.0,-cillin,0,-cillin,penicillins,Antibacterial,0,0,0,334.40,0.86,4.0,2.0,86.71,4.0,N,0.0,3.53,,1.08,-2.29,ACID,372.49,1.0,23.0,0.80,334.0987,C16H17KN2O4S,6.0,2.0,0.0,0.34
CHEMBL1518,CCCc1cc(=O)[nH]c(=S)[nH]1,421208,PROPYLTHIOURACIL,4.0,1,1,MOL,8502.0,Small molecule,1947.0,1,0,0,1,1,0,2,0,0,,1.0,-racil; -uracil,0,-racil; -uracil,uracil type antineoplastics; uracil derivatives used as thyroid antagonists and as antineoplastics,Thyroid Inhibitor,0,0,0,170.24,1.38,2.0,2.0,48.65,2.0,Y,0.0,8.09,,1.20,1.12,NEUTRAL,170.24,1.0,11.0,0.66,170.0514,C7H10N2OS,3.0,2.0,0.0,-0.95
CHEMBL29,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,1615,BENZYLPENICILLIN,4.0,1,1,MOL,18208.0,Small molecule,1947.0,1,1,0,1,1,0,1,0,0,,1.0,-cillin,0,-cillin,penicillins,Antibacterial,0,0,0,334.40,0.86,4.0,2.0,86.71,4.0,N,0.0,3.53,,1.08,-2.29,ACID,334.40,1.0,23.0,0.80,334.0987,C16H18N2O4S,6.0,2.0,0.0,0.34
CHEMBL651,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,27576,METHADONE,4.0,1,0,MOL,6807.0,Small molecule,1947.0,1,1,0,1,1,0,0,0,0,,1.0,,0,,,Analgesic (narcotic),0,0,0,309.45,4.29,2.0,0.0,20.31,7.0,N,0.0,,9.12,5.01,3.29,BASE,309.45,2.0,23.0,0.76,309.2093,C21H27NO,2.0,0.0,0.0,-0.20
CHEMBL1004,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,111498,DOXYLAMINE,4.0,1,0,MOL,51380.0,Small molecule,1948.0,1,0,0,0,1,0,0,0,0,,2.0,,0,,,Antihistaminic,0,0,0,270.38,2.92,3.0,0.0,25.36,6.0,N,0.0,,8.87,2.96,1.48,BASE,270.38,2.0,20.0,0.81,270.1732,C17H22N2O,3.0,0.0,0.0,-0.73
CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,16485,CAFFEINE,4.0,1,1,MOL,27732.0,Small molecule,1948.0,1,1,1,0,1,0,2,0,0,,2.0,,0,,,Stimulant (central),0,0,0,194.19,-1.03,6.0,0.0,61.82,0.0,N,0.0,,,-0.55,-0.55,NEUTRAL,194.19,2.0,14.0,0.54,194.0804,C8H10N4O2,6.0,0.0,0.0,-1.09
CHEMBL1200392,CN(C)CCOC(C)(c1ccccc1)c1ccccn1.O=C(O)CCC(=O)O,674343,DOXYLAMINE SUCCINATE,4.0,1,1,MOL,82461.0,Small molecule,1948.0,1,0,0,0,0,0,0,0,0,,2.0,,0,,,Antihistaminic,0,0,0,270.38,2.92,3.0,0.0,25.36,6.0,N,0.0,,8.87,2.96,1.48,BASE,388.46,2.0,20.0,0.81,270.1732,C21H28N2O5,3.0,0.0,0.0,-0.73
CHEMBL1200409,CCN(CC)CC(=O)Nc1c(C)cccc1C.Cl.O,674360,LIDOCAINE HYDROCHLORIDE,4.0,1,1,MOL,60791.0,Small molecule,1948.0,1,1,1,1,0,0,2,0,0,,1.0,-caine,0,-caine,local anesthetics,Anesthetic (local),0,0,0,234.34,2.58,2.0,1.0,32.34,5.0,N,0.0,13.78,7.75,2.84,2.33,NEUTRAL,288.82,1.0,17.0,0.85,234.1732,C14H25ClN2O2,3.0,1.0,0.0,-1.69
